,Rel_BreitGross,RelSpitze_oben,RelSpitze_unten,Anzahl_Linie,Anzahl_Ecken,Anzahl_Kreis,Label
0,0.9265438554742103,0.6051502145922747,1.0,17,9,0,0
1,0.927977767896843,0.5665236051502146,1.0,9,10,0,0
2,0.896106619373518,0.5593705293276109,1.0,10,9,0,0
3,0.9533625771257953,0.6051502145922747,1.0,16,8,0,0
4,0.9457348933794004,0.5579399141630901,1.0,16,7,1,0
5,0.7326590972112701,0.7696709585121603,1.0,15,17,1,0
6,0.9272026491689015,0.23605150214592274,0.6366237482117311,9,7,0,0
7,0.9458802447056479,0.6022889842632332,1.0,10,9,0,0
8,0.818555652719914,0.7925608011444921,1.0,13,24,0,0
9,0.9317373852274431,0.5836909871244635,1.0,3,8,0,0
10,0.9271314337322863,0.5550786838340487,1.0,10,11,0,0
11,0.947834641037731,0.5822603719599427,1.0,7,15,0,0
12,0.838202050715682,0.5793991416309013,1.0,12,10,0,0
13,0.8786243402320991,0.6638054363376252,1.0,5,5,0,0
14,0.7822747212826304,0.8383404864091559,1.0,14,36,0,0
15,0.9538610727338154,0.8154506437768241,1.0,14,34,0,0
16,0.8259254829251289,0.6909871244635193,1.0,10,20,0,0
17,0.47479528335433563,0.8148148148148148,0.9120370370370371,1,11,0,0
18,0.8176596882685669,0.5608011444921316,1.0,11,10,0,0
19,0.9524569343525475,0.7296137339055794,1.0,17,22,0,1
20,0.5151240084503564,0.8565737051792829,0.8007968127490039,3,7,0,1
21,0.7548028791261472,0.5188916876574308,0.5264483627204031,3,13,0,1
22,0.8296729978914412,0.6151645207439199,1.0,10,26,0,1
23,0.8710731758738505,0.26609442060085836,0.6666666666666666,4,7,0,1
24,0.6657040885007247,0.8433333333333334,0.92,2,20,0,1
25,0.8833104987954529,0.3611532625189681,0.6737481031866465,4,7,1,1
26,0.8018212715633857,0.31759656652360513,0.6866952789699571,5,14,0,1
27,0.7912039713169262,0.3376251788268956,0.703862660944206,5,10,0,1
28,0.988273599011294,0.39914163090128757,0.6666666666666666,12,23,0,1
29,0.8405221582560617,0.30472103004291845,0.7010014306151645,13,22,0,1
30,0.8848570094294183,0.4220314735336195,0.6824034334763949,10,18,0,1
31,0.8354792560801144,0.8612303290414879,1.0,18,43,0,1
32,0.8283261802575107,0.9985693848354793,1.0,16,47,0,1
33,0.8486088798111984,0.8741058655221745,1.0,20,29,1,1
34,0.848472422244301,0.6051502145922747,1.0,14,10,0,1
35,0.7417498586485618,0.5708154506437768,1.0,14,14,0,1
